NAME,TOTAL,FINE,FEE,Z FEE,COST,SURCHARGE,STF,BIPSA,MF,PLUS,CATEGORY,DESCRIPTION
7-313a,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure to obey any signal given by a fire police officer directing traffic.
12-484,110.0,90.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure of motor carrier to make a report/failure to comply with regulations-reports
13b-29,75.0,35.0,5.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Violation of regulations for commuter parking facilities
13b-42(f),50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Violation of airport parking regulations
13b-90,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Violation of interstate motor bus regulations
13b-221,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Illegal deposit of snow on highway
13b-292,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure to comply with railroad crossing control devices or traffic control measures
13b-336,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure to use TRACK MOTOR CAR lights
13b-337,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Improper use of track motor car equipment
13b-338,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Illegal obstruction of highway by railroad car
13b-410,170.0,150.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure to comply with DOT regulations
13b-410a,170.0,150.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure to comply with Unified Carrier Registration.
13b-410b,170.0,150.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,"Violation of regulations, payment of fees by motor carriers for hire exempted from filing proof of insurance"
13b-410c,170.0,150.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,"Violation of regulations, payment of fees by intrastate motor common and intrastate motor contract carriers, failure to apply to commissioner of transportation, proof of insurance"
13b-412(a),250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Illegal reduction of transportation rates
13b-412(b),250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Fraudulent reduction of rates
13b-412(c),250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Soliciting illegal reduction in rates
13b-414,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Violation of motor carrier for hire regulations (1st offense)
13b-414*,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Violation of motor carrier for hire regulations (subsequent offense).
14-12(a),117.0,50.0,7.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure to RENEW registration; registration of motor vehicle by non-owner
14-12(a)*,117.0,50.0,7.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,MOTOR VEHICLES,OPERATING or TOWING unregistered motor vehicle
14-12(d),113.0,100.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,FALSE STATEMENT - obtain motor vehicle registration
14-12(d)*,113.0,100.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure to RETURN registration on demand
14-13,117.0,50.0,7.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure to CARRY registration or insurance I.D. card (1st offense)
14-15,120.0,75.0,10.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure to obtain car leasing license; failure to keep records; transfer of license; failure to disclose name and address of subsequent lessee
14-16(g),117.0,50.0,7.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure to report sale (1st offense)
14-17,117.0,50.0,7.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure to notify DMV of change of appearance or mechanical equipment of vehicle
14-17a,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure of holder of motor vehicle registration to notify of CHANGE OF ADDRESS
14-18(a),117.0,50.0,7.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure to display number plates and valid sticker; improper location of sticker
